cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/gemm/hgemm/hgemm_16warp_aligned.sm_86.cubin,hgemm_16warp_aligned,440,64,0,32,0,0,8,0,16,0,0,0,0,0,0,35,106,4,15,6,1,4,0,0,9,10,130,14.5
kernels/gemm/sgemm/naive.sm_86.cubin,sgemm_naive,216,0,0,0,0,0,0,58,1,29,0,0,0,0,0,11,42,12,1,11,2,0,0,0,14,4,31,13.4
kernels/convolution/conv2d/conv2d.sm_86.cubin,conv2d_nhwc,2112,0,0,0,279,7,0,287,1,279,0,0,0,1,0,221,287,134,49,108,2,2,0,0,13,7,435,13.2
kernels/attention/flash_attention/flash_split_q.sm_86.cubin,flash_attn_split_q_reduce,7016,0,0,0,0,0,0,944,64,375,130,369,0,132,0,1956,729,230,28,262,33,0,0,0,14,2,1748,12.5
kernels/elementwise/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_single,40,0,0,0,0,0,0,0,2,0,0,5,0,4,0,0,2,1,0,1,2,0,0,0,14,1,8,12.5
kernels/elementwise/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_batch,48,0,0,0,0,0,0,1,2,0,0,5,0,4,0,1,5,2,0,1,2,0,0,0,11,2,12,10.4
kernels/gemm/igemm/igemm_warp_specialized.imma_s02.sm_86.cubin,igemm_warp_specialized,5656,0,128,16,372,209,48,48,112,288,2,97,0,4,10,459,963,258,173,283,4,8,0,19,47,24,2084,9.1
kernels/gemm/igemm/igemm_warp_specialized.imma_s04.sm_86.cubin,igemm_warp_specialized,5656,0,128,16,372,209,48,48,112,288,2,97,0,4,10,459,963,258,173,283,4,8,0,19,47,24,2084,9.1
kernels/gemm/igemm/igemm_warp_specialized.sm_86.cubin,igemm_warp_specialized,5656,0,128,16,372,209,48,48,112,288,2,97,0,4,10,459,963,258,173,283,4,8,0,19,47,24,2084,9.1
kernels/composition/attention_layer/utils.sm_86.cubin,residual_add,48,0,0,0,0,0,0,8,4,0,4,0,0,0,0,3,5,4,0,1,2,0,0,0,12,2,3,8.3
kernels/gemm/igemm/igemm_online_quant_bankfree.sm_86.cubin,igemm_online_quant_bankfree,3512,0,64,8,220,81,32,32,56,160,2,65,0,4,10,273,654,166,98,177,2,7,0,8,29,14,1350,8.3
kernels/gemm/igemm/igemm_online_quant_inplace.sm_86.cubin,igemm_online_quant_inplace,3560,0,64,8,284,129,32,32,56,160,2,65,0,4,10,246,695,166,101,177,2,7,0,8,26,14,1272,8.2
kernels/gemm/igemm/igemm_online_quant.sm_86.cubin,igemm_online_quant,3544,0,64,8,284,129,32,32,56,160,2,65,0,4,10,243,678,166,99,177,2,5,0,8,27,14,1279,8.2
kernels/gemm/hgemm/hgemm_256x128.sm_86.cubin,hgemm_256x128,792,64,0,24,0,48,6,42,32,0,0,0,0,0,0,82,138,67,24,23,2,2,0,8,15,3,212,8.1
kernels/gemm/igemm/igemm_tiled_aggressive.sm_86.cubin,igemm_tiled,608,0,16,4,32,14,0,14,16,0,0,33,0,0,0,61,79,47,25,24,2,2,0,4,12,10,213,8.1
kernels/gemm/igemm/igemm_tiled_handtuned.sm_86.cubin,igemm_tiled,608,0,16,4,32,14,0,14,16,0,0,33,0,0,0,61,79,47,25,24,2,2,0,4,12,10,213,8.1
kernels/gemm/igemm/igemm_tiled.imma_s02.sm_86.cubin,igemm_tiled,608,0,16,4,32,14,0,14,16,0,0,33,0,0,0,61,79,47,25,24,2,2,0,4,12,10,213,8.1
