cubin,kernel,regs,block_size,regs_per_block,smem_static_kb,smem_dynamic,local_bytes,has_spill,const_bytes,theo_blocks_sm,warps_per_sm
phase2/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
phase2/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_col,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
phase4/conv2d/conv2d_im2col.sm_86.cubin,im2col_nhwc_fp16,28,128,3584,0,TRUE,0,FALSE,404,12,48
phase2/layernorm/layernorm.sm_86.cubin,layernorm_warp,27,NA,NA,0,FALSE,0,FALSE,396,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_with_silu_scale,24,NA,NA,0,FALSE,0,FALSE,392,NA,NA
phase2/softmax/softmax.sm_86.cubin,softmax_block,23,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase5/attention_layer/utils.sm_86.cubin,residual_add,18,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase2/softmax/softmax.sm_86.cubin,softmax_warp,16,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_batch,16,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase5/attention_layer/utils.sm_86.cubin,transpose_bhsd,15,NA,NA,0,FALSE,0,FALSE,384,NA,NA
phase5/attention_layer/utils.sm_86.cubin,transpose_bshd,15,NA,NA,0,FALSE,0,FALSE,384,NA,NA
phase5/attention_layer/utils.sm_86.cubin,fp16_to_fp32,14,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations_fast.sm_86.cubin,gelu_fast,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations_fast.sm_86.cubin,silu_kernel,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,gelu_fast,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,silu_kernel,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase1/vector_add.sm_86.cubin,vector_add,12,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase2/activations/activations_fast.sm_86.cubin,gelu_kernel,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,gelu_kernel,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase4/resblock/resblock.sm_86.cubin,residual_add,12,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_single,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase5/attention_layer/utils.sm_86.cubin,fp32_to_fp16,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
experiments/rust-experiments/vecadd_oxide.sm_86.cubin,vecadd,12,NA,NA,0,FALSE,0,FALSE,400,NA,NA
phase2/activations/activations_fast.sm_86.cubin,relu_kernel,10,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,relu_kernel,10,NA,NA,0,FALSE,0,FALSE,372,NA,NA
